head,tail,level
https://en.wikipedia.org/wiki/Harry_Potter_(character),https://en.wikipedia.org/wiki/Lord_Voldemort,1
https://en.wikipedia.org/wiki/Harry_Potter_(character),https://en.wikipedia.org/wiki/Harry_Potter,1
https://en.wikipedia.org/wiki/Harry_Potter_(character),https://en.wikipedia.org/wiki/Albus_Dumbledore,1
https://en.wikipedia.org/wiki/Harry_Potter_(character),https://en.wikipedia.org/wiki/Hermione_Granger,1
https://en.wikipedia.org/wiki/Harry_Potter_(character),https://en.wikipedia.org/wiki/Hogwarts,1
https://en.wikipedia.org/wiki/Harry_Potter_(character),https://en.wikipedia.org/wiki/Protagonist,1
https://en.wikipedia.org/wiki/Harry_Potter_(character),https://en.wikipedia.org/wiki/J.K._Rowling,1
https://en.wikipedia.org/wiki/Harry_Potter_(character),https://en.wikipedia.org/wiki/Orphan,1
https://en.wikipedia.org/wiki/Harry_Potter_(character),https://en.wikipedia.org/wiki/Ron_Weasley,1
https://en.wikipedia.org/wiki/Harry_Potter_(character),https://en.wikipedia.org/wiki/Magician_(fantasy),1
https://en.wikipedia.org/wiki/Harry_Potter_(character),https://en.wikipedia.org/wiki/Fictional_universe_of_Harry_Potter,1
https://en.wikipedia.org/wiki/Lord_Voldemort,https://en.wikipedia.org/wiki/Wizarding_World,2
https://en.wikipedia.org/wiki/Lord_Voldemort,https://en.wikipedia.org/wiki/Hogwarts,2
https://en.wikipedia.org/wiki/Lord_Voldemort,https://en.wikipedia.org/wiki/Death_Eater,2
https://en.wikipedia.org/wiki/Lord_Voldemort,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Prisoner_of_Azkaban,2
https://en.wikipedia.org/wiki/Lord_Voldemort,https://en.wikipedia.org/wiki/Voldemort_(distributed_data_store),2
https://en.wikipedia.org/wiki/Lord_Voldemort,https://en.wikipedia.org/wiki/Muggle,2
https://en.wikipedia.org/wiki/Lord_Voldemort,https://en.wikipedia.org/wiki/List_of_supporting_Harry_Potter_characters,2
https://en.wikipedia.org/wiki/Lord_Voldemort,https://en.wikipedia.org/wiki/Harry_Potter_and_the_Philosopher's_Stone,2
https://en.wikipedia.org/wiki/Lord_Voldemort,https://en.wikipedia.org/wiki/Salazar_Slytherin,2
https://en.wikipedia.org/wiki/Lord_Voldemort,https://en.wikipedia.org/wiki/Harry_Potter,2
https://en.wikipedia.org/wiki/Lord_Voldemort,https://en.wikipedia.org/wiki/Dwarves_(band),2
https://en.wikipedia.org/wiki/Lord_Voldemort,https://en.wikipedia.org/wiki/Sobriquet,2
https://en.wikipedia.org/wiki/Lord_Voldemort,https://en.wikipedia.org/wiki/Antagonist,2
https://en.wikipedia.org/wiki/Lord_Voldemort,https://en.wikipedia.org/wiki/Dark_Lord,2
https://en.wikipedia.org/wiki/Lord_Voldemort,https://en.wikipedia.org/wiki/James_Potter_(character),2
https://en.wikipedia.org/wiki/Lord_Voldemort,https://en.wikipedia.org/wiki/Fictional_character,2
https://en.wikipedia.org/wiki/Lord_Voldemort,https://en.wikipedia.org/wiki/Harry_Potter_(character),2
https://en.wikipedia.org/wiki/Lord_Voldemort,https://en.wikipedia.org/wiki/J._K._Rowling,2
https://en.wikipedia.org/wiki/Lord_Voldemort,https://en.wikipedia.org/wiki/Hastur,2
https://en.wikipedia.org/wiki/Lord_Voldemort,https://en.wikipedia.org/wiki/Archenemy,2
https://en.wikipedia.org/wiki/Lord_Voldemort,https://en.wikipedia.org/wiki/Prophecy,2
https://en.wikipedia.org/wiki/Harry_Potter,https://en.wikipedia.org/wiki/Harry_Potter_(disambiguation),2
https://en.wikipedia.org/wiki/Harry_Potter,https://en.wikipedia.org/wiki/Wizarding_World,2
https://en.wikipedia.org/wiki/Harry_Potter,https://en.wikipedia.org/wiki/Lord_Voldemort,2
https://en.wikipedia.org/wiki/Harry_Potter,https://en.wikipedia.org/wiki/Story_arc,2
https://en.wikipedia.org/wiki/Harry_Potter,https://en.wikipedia.org/wiki/Ron_Weasley,2
https://en.wikipedia.org/wiki/Harry_Potter,https://en.wikipedia.org/wiki/Harry_Potter_in_translation,2
https://en.wikipedia.org/wiki/Harry_Potter,https://en.wikipedia.org/wiki/List_of_highest-grossing_media_franchises,2
https://en.wikipedia.org/wiki/Harry_Potter,"https://en.wikipedia.org/wiki/Little,_Brown_Book_Group",2
https://en.wikipedia.org/wiki/Harry_Potter,https://en.wikipedia.org/wiki/The_Wizarding_World_of_Harry_Potter,2
