head,tail,level
https://en.wikipedia.org/wiki/Mark_Zuckerberg,https://en.wikipedia.org/wiki/Media_proprietor,1
https://en.wikipedia.org/wiki/Mark_Zuckerberg,https://en.wikipedia.org/wiki/Time_Person_of_the_Year,1
https://en.wikipedia.org/wiki/Mark_Zuckerberg,https://en.wikipedia.org/wiki/Forbes,1
https://en.wikipedia.org/wiki/Mark_Zuckerberg,https://en.wikipedia.org/wiki/Breakthrough_Starshot,1
https://en.wikipedia.org/wiki/Mark_Zuckerberg,https://en.wikipedia.org/wiki/The_World's_Billionaires,1
https://en.wikipedia.org/wiki/Mark_Zuckerberg,https://en.wikipedia.org/wiki/Time_(magazine),1
https://en.wikipedia.org/wiki/Mark_Zuckerberg,"https://en.wikipedia.org/wiki/Facebook,_Inc.",1
https://en.wikipedia.org/wiki/Mark_Zuckerberg,https://en.wikipedia.org/wiki/Andrew_McCollum,1
https://en.wikipedia.org/wiki/Mark_Zuckerberg,https://en.wikipedia.org/wiki/Zuckerberg_(surname),1
https://en.wikipedia.org/wiki/Mark_Zuckerberg,https://en.wikipedia.org/wiki/Solar_sail,1
https://en.wikipedia.org/wiki/Mark_Zuckerberg,https://en.wikipedia.org/wiki/Facebook,1
https://en.wikipedia.org/wiki/Mark_Zuckerberg,"https://en.wikipedia.org/wiki/White_Plains,_New_York",1
https://en.wikipedia.org/wiki/Mark_Zuckerberg,https://en.wikipedia.org/wiki/Harvard_University,1
https://en.wikipedia.org/wiki/Mark_Zuckerberg,https://en.wikipedia.org/wiki/Dustin_Moskovitz,1
https://en.wikipedia.org/wiki/Mark_Zuckerberg,https://en.wikipedia.org/wiki/Eduardo_Saverin,1
https://en.wikipedia.org/wiki/Mark_Zuckerberg,https://en.wikipedia.org/wiki/Chris_Hughes,1
https://en.wikipedia.org/wiki/Mark_Zuckerberg,https://en.wikipedia.org/wiki/Forbes_list_of_The_World's_Most_Powerful_People,1
https://en.wikipedia.org/wiki/Media_proprietor,https://en.wikipedia.org/wiki/Mass_media,2
https://en.wikipedia.org/wiki/Media_proprietor,https://en.wikipedia.org/wiki/Business_magnate,2
https://en.wikipedia.org/wiki/Media_proprietor,https://en.wikipedia.org/wiki/Social_media,2
https://en.wikipedia.org/wiki/Media_proprietor,https://en.wikipedia.org/wiki/Tycoon,2
https://en.wikipedia.org/wiki/Media_proprietor,https://en.wikipedia.org/wiki/Business_baron,2
https://en.wikipedia.org/wiki/Time_Person_of_the_Year,https://en.wikipedia.org/wiki/Time_(magazine),2
https://en.wikipedia.org/wiki/Time_Person_of_the_Year,https://en.wikipedia.org/wiki/Person_of_the_Year,2
https://en.wikipedia.org/wiki/Time_Person_of_the_Year,https://en.wikipedia.org/wiki/News_magazine,2
https://en.wikipedia.org/wiki/Forbes,https://en.wikipedia.org/wiki/Fortune_(magazine),2
https://en.wikipedia.org/wiki/Forbes,https://en.wikipedia.org/wiki/Bloomberg_Businessweek,2
https://en.wikipedia.org/wiki/Forbes,https://en.wikipedia.org/wiki/Fifth_Avenue,2
https://en.wikipedia.org/wiki/Forbes,https://en.wikipedia.org/wiki/Business,2
https://en.wikipedia.org/wiki/Forbes,https://en.wikipedia.org/wiki/The_World's_Billionaires,2
https://en.wikipedia.org/wiki/Forbes,https://en.wikipedia.org/wiki/Forbes_(disambiguation),2
https://en.wikipedia.org/wiki/Forbes,https://en.wikipedia.org/wiki/New_Jersey,2
https://en.wikipedia.org/wiki/Forbes,https://en.wikipedia.org/wiki/Forbes_Global_2000,2
https://en.wikipedia.org/wiki/Forbes,"https://en.wikipedia.org/wiki/Jersey_City,_New_Jersey",2
https://en.wikipedia.org/wiki/Forbes,https://en.wikipedia.org/wiki/Steve_Forbes,2
https://en.wikipedia.org/wiki/Forbes,https://en.wikipedia.org/wiki/Chief_editor,2
https://en.wikipedia.org/wiki/Forbes,https://en.wikipedia.org/wiki/Magazine,2
https://en.wikipedia.org/wiki/Forbes,https://en.wikipedia.org/wiki/Motto,2
https://en.wikipedia.org/wiki/Forbes,https://en.wikipedia.org/wiki/Hong_Kong,2
https://en.wikipedia.org/wiki/Forbes,https://en.wikipedia.org/wiki/Asia,2
https://en.wikipedia.org/wiki/Forbes,https://en.wikipedia.org/wiki/Forbes_400,2
https://en.wikipedia.org/wiki/Breakthrough_Starshot,https://en.wikipedia.org/wiki/Pete_Worden,2
https://en.wikipedia.org/wiki/Breakthrough_Starshot,https://en.wikipedia.org/wiki/Habitable_zone,2
https://en.wikipedia.org/wiki/Breakthrough_Starshot,https://en.wikipedia.org/wiki/Gigawatt,2
https://en.wikipedia.org/wiki/Breakthrough_Starshot,https://en.wikipedia.org/wiki/Starshot_(target),2
https://en.wikipedia.org/wiki/Breakthrough_Starshot,https://en.wikipedia.org/wiki/Proxima_Centauri_b,2
https://en.wikipedia.org/wiki/Breakthrough_Starshot,https://en.wikipedia.org/wiki/Proxima_Centauri,2
https://en.wikipedia.org/wiki/Breakthrough_Starshot,https://en.wikipedia.org/wiki/Exoplanet,2
https://en.wikipedia.org/wiki/Breakthrough_Starshot,https://en.wikipedia.org/wiki/Yuri_Milner,2
https://en.wikipedia.org/wiki/Breakthrough_Starshot,"https://en.wikipedia.org/wiki/University_of_California,_Santa_Barbara",2
https://en.wikipedia.org/wiki/Breakthrough_Starshot,https://en.wikipedia.org/wiki/Proof_of_concept,2
https://en.wikipedia.org/wiki/Breakthrough_Starshot,https://en.wikipedia.org/wiki/Proxima_b,2
https://en.wikipedia.org/wiki/Breakthrough_Starshot,https://en.wikipedia.org/wiki/Phased_array,2
https://en.wikipedia.org/wiki/Breakthrough_Starshot,https://en.wikipedia.org/wiki/Mark_Zuckerberg,2
https://en.wikipedia.org/wiki/Breakthrough_Starshot,https://en.wikipedia.org/wiki/Breakthrough_Initiatives,2
https://en.wikipedia.org/wiki/Breakthrough_Starshot,https://en.wikipedia.org/wiki/Light_sail,2
https://en.wikipedia.org/wiki/Breakthrough_Starshot,https://en.wikipedia.org/wiki/Terrestrial_planet,2
https://en.wikipedia.org/wiki/Breakthrough_Starshot,https://en.wikipedia.org/wiki/Speed_of_light,2
https://en.wikipedia.org/wiki/Breakthrough_Starshot,https://en.wikipedia.org/wiki/Stephen_Hawking,2
https://en.wikipedia.org/wiki/Breakthrough_Starshot,https://en.wikipedia.org/wiki/Alpha_Centauri,2
https://en.wikipedia.org/wiki/Breakthrough_Starshot,https://en.wikipedia.org/wiki/Laser,2
https://en.wikipedia.org/wiki/Breakthrough_Starshot,https://en.wikipedia.org/wiki/Light-years,2
https://en.wikipedia.org/wiki/The_World's_Billionaires,https://en.wikipedia.org/wiki/Billionaire,2
https://en.wikipedia.org/wiki/The_World's_Billionaires,https://en.wikipedia.org/wiki/United_States_dollar,2
https://en.wikipedia.org/wiki/The_World's_Billionaires,https://en.wikipedia.org/wiki/Forbes,2
https://en.wikipedia.org/wiki/The_World's_Billionaires,https://en.wikipedia.org/wiki/Dictator,2
https://en.wikipedia.org/wiki/The_World's_Billionaires,https://en.wikipedia.org/wiki/Microsoft,2
