head,tail,level
https://en.wikipedia.org/wiki/George_Washington,https://en.wikipedia.org/wiki/George_Washington's_resignation_as_commander-in-chief,1
https://en.wikipedia.org/wiki/George_Washington,https://en.wikipedia.org/wiki/Patriot_(American_Revolution),1
https://en.wikipedia.org/wiki/George_Washington,https://en.wikipedia.org/wiki/United_States_Electoral_College,1
https://en.wikipedia.org/wiki/George_Washington,https://en.wikipedia.org/wiki/Historical_rankings_of_presidents_of_the_United_States,1
https://en.wikipedia.org/wiki/George_Washington,https://en.wikipedia.org/wiki/House_of_Burgesses,1
https://en.wikipedia.org/wiki/George_Washington,https://en.wikipedia.org/wiki/Thomas_Jefferson,1
https://en.wikipedia.org/wiki/George_Washington,https://en.wikipedia.org/wiki/Jay_Treaty,1
https://en.wikipedia.org/wiki/George_Washington,https://en.wikipedia.org/wiki/George_Washington_and_slavery,1
https://en.wikipedia.org/wiki/George_Washington,https://en.wikipedia.org/wiki/Treaty_of_Paris_(1783),1
https://en.wikipedia.org/wiki/George_Washington,https://en.wikipedia.org/wiki/George_Washington_(disambiguation),1
https://en.wikipedia.org/wiki/George_Washington,https://en.wikipedia.org/wiki/Founding_Fathers_of_the_United_States,1
https://en.wikipedia.org/wiki/George_Washington,https://en.wikipedia.org/wiki/Siege_of_Yorktown,1
https://en.wikipedia.org/wiki/George_Washington,https://en.wikipedia.org/wiki/French_and_Indian_War,1
https://en.wikipedia.org/wiki/George_Washington,https://en.wikipedia.org/wiki/Commanding_General_of_the_United_States_Army,1
https://en.wikipedia.org/wiki/George_Washington,https://en.wikipedia.org/wiki/Republicanism,1
https://en.wikipedia.org/wiki/George_Washington,https://en.wikipedia.org/wiki/United_States_Constitution,1
https://en.wikipedia.org/wiki/George_Washington,https://en.wikipedia.org/wiki/Slavery_in_the_United_States,1
https://en.wikipedia.org/wiki/George_Washington,https://en.wikipedia.org/wiki/Alexander_Hamilton,1
https://en.wikipedia.org/wiki/George_Washington,https://en.wikipedia.org/wiki/Native_Americans_in_the_United_States,1
https://en.wikipedia.org/wiki/George_Washington,https://en.wikipedia.org/wiki/Virginia_Regiment,1
https://en.wikipedia.org/wiki/George_Washington,https://en.wikipedia.org/wiki/French_Revolution,1
https://en.wikipedia.org/wiki/George_Washington,https://en.wikipedia.org/wiki/American_Revolutionary_War,1
https://en.wikipedia.org/wiki/George_Washington,https://en.wikipedia.org/wiki/Father_of_the_Nation,1
https://en.wikipedia.org/wiki/George_Washington,https://en.wikipedia.org/wiki/Constitutional_Convention_(United_States),1
https://en.wikipedia.org/wiki/George_Washington,https://en.wikipedia.org/wiki/Mr._President_(title),1
https://en.wikipedia.org/wiki/George_Washington,https://en.wikipedia.org/wiki/Constitution_of_the_United_States,1
https://en.wikipedia.org/wiki/George_Washington,https://en.wikipedia.org/wiki/Old_Style_and_New_Style_dates,1
https://en.wikipedia.org/wiki/George_Washington,https://en.wikipedia.org/wiki/Continental_Army,1
https://en.wikipedia.org/wiki/George_Washington,https://en.wikipedia.org/wiki/President_of_the_United_States,1
https://en.wikipedia.org/wiki/George_Washington,https://en.wikipedia.org/wiki/George_Washington's_Farewell_Address,1
https://en.wikipedia.org/wiki/George_Washington,https://en.wikipedia.org/wiki/Freemasonry,1
https://en.wikipedia.org/wiki/George_Washington,https://en.wikipedia.org/wiki/Continental_Congress,1
