head,tail,level
https://en.wikipedia.org/wiki/Michelangelo,https://en.wikipedia.org/wiki/Michelangelo_(disambiguation),1
https://en.wikipedia.org/wiki/Michelangelo,https://en.wikipedia.org/wiki/Giorgio_Vasari,1
https://en.wikipedia.org/wiki/Michelangelo,https://en.wikipedia.org/wiki/Western_art,1
https://en.wikipedia.org/wiki/Michelangelo,https://en.wikipedia.org/wiki/Sistine_Chapel_ceiling,1
https://en.wikipedia.org/wiki/Michelangelo,https://en.wikipedia.org/wiki/Biography,1
https://en.wikipedia.org/wiki/Michelangelo,https://en.wikipedia.org/wiki/St._Peter's_Basilica,1
https://en.wikipedia.org/wiki/Michelangelo,https://en.wikipedia.org/wiki/Leonardo_da_Vinci,1
https://en.wikipedia.org/wiki/Michelangelo,https://en.wikipedia.org/wiki/Italians,1
https://en.wikipedia.org/wiki/Michelangelo,https://en.wikipedia.org/wiki/Republic_of_Florence,1
https://en.wikipedia.org/wiki/Michelangelo,https://en.wikipedia.org/wiki/Pietà_(Michelangelo),1
https://en.wikipedia.org/wiki/Michelangelo,https://en.wikipedia.org/wiki/Laurentian_Library,1
https://en.wikipedia.org/wiki/Michelangelo,https://en.wikipedia.org/wiki/Antonio_da_Sangallo_the_Younger,1
https://en.wikipedia.org/wiki/Michelangelo,https://en.wikipedia.org/wiki/Mannerism,1
https://en.wikipedia.org/wiki/Michelangelo,https://en.wikipedia.org/wiki/David_(Michelangelo),1
https://en.wikipedia.org/wiki/Michelangelo,https://en.wikipedia.org/wiki/High_Renaissance,1
https://en.wikipedia.org/wiki/Michelangelo,https://en.wikipedia.org/wiki/Fresco,1
https://en.wikipedia.org/wiki/Michelangelo,https://en.wikipedia.org/wiki/Renaissance_man,1
https://en.wikipedia.org/wiki/Michelangelo,https://en.wikipedia.org/wiki/The_Last_Judgment_(Michelangelo),1
https://en.wikipedia.org/wiki/Michelangelo_(disambiguation),https://en.wikipedia.org/wiki/Michelangelo,2
https://en.wikipedia.org/wiki/Michelangelo_(disambiguation),https://en.wikipedia.org/wiki/Michelangelo_(song),2
https://en.wikipedia.org/wiki/Michelangelo_(disambiguation),https://en.wikipedia.org/wiki/3001_Michelangelo,2
https://en.wikipedia.org/wiki/Michelangelo_(disambiguation),https://en.wikipedia.org/wiki/SS_Michelangelo,2
https://en.wikipedia.org/wiki/Michelangelo_(disambiguation),https://en.wikipedia.org/wiki/Michelangelo_(Teenage_Mutant_Ninja_Turtles),2
https://en.wikipedia.org/wiki/Michelangelo_(disambiguation),https://en.wikipedia.org/wiki/Michelangelo_(computer_virus),2
https://en.wikipedia.org/wiki/Michelangelo_(disambiguation),https://en.wikipedia.org/wiki/Michelangelo_(crater),2
https://en.wikipedia.org/wiki/Michelangelo_(disambiguation),https://en.wikipedia.org/wiki/The_Michelangelo,2
https://en.wikipedia.org/wiki/Michelangelo_(disambiguation),https://en.wikipedia.org/wiki/Michelangelo_(given_name),2
https://en.wikipedia.org/wiki/Michelangelo_(disambiguation),https://en.wikipedia.org/wiki/Red_Dirt_Girl,2
https://en.wikipedia.org/wiki/Giorgio_Vasari,https://en.wikipedia.org/wiki/Art_history,2
https://en.wikipedia.org/wiki/Giorgio_Vasari,https://en.wikipedia.org/wiki/List_of_Italian_architects,2
https://en.wikipedia.org/wiki/Giorgio_Vasari,https://en.wikipedia.org/wiki/Italians,2
https://en.wikipedia.org/wiki/Giorgio_Vasari,"https://en.wikipedia.org/wiki/Lives_of_the_Most_Excellent_Painters,_Sculptors,_and_Architects",2
https://en.wikipedia.org/wiki/Giorgio_Vasari,https://en.wikipedia.org/wiki/List_of_Italian_painters,2
https://en.wikipedia.org/wiki/Giorgio_Vasari,https://en.wikipedia.org/wiki/Vasari_(surname),2
https://en.wikipedia.org/wiki/Giorgio_Vasari,https://en.wikipedia.org/wiki/American_English,2
https://en.wikipedia.org/wiki/Western_art,https://en.wikipedia.org/wiki/Vienna,2
https://en.wikipedia.org/wiki/Western_art,https://en.wikipedia.org/wiki/Visual_art,2
https://en.wikipedia.org/wiki/Western_art,https://en.wikipedia.org/wiki/Post-Modernism,2
https://en.wikipedia.org/wiki/Western_art,https://en.wikipedia.org/wiki/Aegean_civilisation,2
https://en.wikipedia.org/wiki/Western_art,https://en.wikipedia.org/wiki/Renaissance_art,2
https://en.wikipedia.org/wiki/Western_art,https://en.wikipedia.org/wiki/New_European_Painting,2
https://en.wikipedia.org/wiki/Western_art,https://en.wikipedia.org/wiki/Upper_Paleolithic,2
https://en.wikipedia.org/wiki/Western_art,https://en.wikipedia.org/wiki/Postmodern,2
https://en.wikipedia.org/wiki/Western_art,https://en.wikipedia.org/wiki/Prehistoric_art,2
https://en.wikipedia.org/wiki/Western_art,https://en.wikipedia.org/wiki/North_Africa,2
https://en.wikipedia.org/wiki/Western_art,https://en.wikipedia.org/wiki/Classical_antiquity,2
https://en.wikipedia.org/wiki/Western_art,https://en.wikipedia.org/wiki/Europe,2
https://en.wikipedia.org/wiki/Western_art,https://en.wikipedia.org/wiki/Rock_art,2
https://en.wikipedia.org/wiki/Western_art,https://en.wikipedia.org/wiki/Baroque,2
https://en.wikipedia.org/wiki/Western_art,https://en.wikipedia.org/wiki/The_Hague,2
https://en.wikipedia.org/wiki/Western_art,https://en.wikipedia.org/wiki/Ideology,2
https://en.wikipedia.org/wiki/Western_art,https://en.wikipedia.org/wiki/Roman_Empire,2
https://en.wikipedia.org/wiki/Western_art,https://en.wikipedia.org/wiki/Medieval,2
https://en.wikipedia.org/wiki/Western_art,https://en.wikipedia.org/wiki/Rococo,2
https://en.wikipedia.org/wiki/Western_art,https://en.wikipedia.org/wiki/History_of_art,2
https://en.wikipedia.org/wiki/Western_art,https://en.wikipedia.org/wiki/Roman_art,2
https://en.wikipedia.org/wiki/Western_art,https://en.wikipedia.org/wiki/Mauritshuis,2
https://en.wikipedia.org/wiki/Western_art,https://en.wikipedia.org/wiki/Cave_painting,2
https://en.wikipedia.org/wiki/Western_art,https://en.wikipedia.org/wiki/Gothic_art,2
https://en.wikipedia.org/wiki/Western_art,https://en.wikipedia.org/wiki/Ancient_Greek_art,2
https://en.wikipedia.org/wiki/Western_art,https://en.wikipedia.org/wiki/Neo-Classicism,2
https://en.wikipedia.org/wiki/Western_art,https://en.wikipedia.org/wiki/Petroglyph,2
https://en.wikipedia.org/wiki/Western_art,https://en.wikipedia.org/wiki/Renaissance,2
https://en.wikipedia.org/wiki/Western_art,https://en.wikipedia.org/wiki/Modernism,2
https://en.wikipedia.org/wiki/Western_art,https://en.wikipedia.org/wiki/Iron_Age,2
